"","mz","rt","1405_Fish1_F1","1405_Fish1_F2","1405_Fish1_F3","1405_Fish2_F1","1405_Fish2_F2","1405_Fish2_F3","1405_Fish3_F1","1405_Fish3_F2","1405_Fish3_F3"
"group","mz","rt","fish1","fish1","fish1","fish2","fish2","fish2","fish3","fish3","fish3"
"M163.1487T612.9","163.148675248793","612.911","8993.4479848485","5565.88893442624","5742.07503968255","3471.85714285714","8278.83760000005","4171.53476250001","10074.8006641222","10435.4801194029","11585.6789583333"
"M164.1517T613.1","164.15172268494","613.126","1284.21428571429","974.236997331892","1312.61348724365","746.142857142857","1160.57142857143","702.428571428571","1104.24826153847","1433.94688888889","935.883778625957"
"M165.0787T511.4","165.078725504986","511.369","902.593309090909","965.217674418605","501.224598765432","955.989745538885","1031.18329411765","783.054162597656","1345.94582692308","1655.08859016394","1646.99999999999"
"M166.0867T511.3","166.086669921875","511.294","1038135.34591305","1659752.11054546","1287510.77435295","901064.867076921","1684785.06741176","850990.326369233","1805007.49611765","2511736.60646377","2543725.79602899"
"M166.0867T348.1","166.086669921875","348.134","12509.09653125","9533.12166666665","20552.998984375","8049.51574193548","20364.3699999999","9897.35273684209","8021.19313432836","20247.6330909091","22934.3523013699"
"M166.2924T511.3","166.292416693174","511.294","87.868125","1262.9435625","243.851871490479","97.9330060405116","1035.6845","84.8617652154738","1232.85235135135","6464.26345652176","6210.71612121217"
"M166.4658T144.1","166.465794545589","144.056","1950.025","1401.3912","1756.20755813954","1222.54346666667","1903.36035294118","1468.56275641026","2169.29141333333","2396.68394366197","2313.5828"
"M167.0134T76.3","167.013381958008","76.278","27164.2545416667","27667.9240540541","31710.3742025316","27846.5592083333","28442.9329166667","34320.8181149425","30467.45625","31496.8211547619","28565.8323013699"
"M167.0709T538.3","167.070902503944","538.295","3109.28789247313","3376.76401681035","3349.46900123361","3269.39913461539","3127.98933962266","3357.21771186441","3225.18220529513","2882.90686662236","3140.20761725793"
"M167.0901T511.3","167.090072631836","511.294","81137.9151940299","135853.503692308","102810.174470589","72159.1152343749","138199.607373134","65497.8009692309","149594.28761194","210230.348057971","212605.965391304"
"M168.0923T511.3","168.09226625598","511.294","4878.02659259257","7408.92293103449","5792.79858823531","4262.81859574467","7930.55917241381","4113.11425","8733.66914062498","11775.2822903226","11534.9553230769"
"M168.9988T135.5","168.99883327809","135.466","1671.92270588235","1122.03116666667","2976.88721212121","1055.16956962025","1895.6978","1436.44289552239","1616.58969491525","1707.21428571429","3199.68244776119"
"M169.0976T169.8","169.097622289208","169.753","543.889611940299","513.671262105306","827.051587345518","454.454488900992","606.263272727273","400.348309557147","652.76354716981","918.879418181818","1100.57923404255"
"M170.033T215.1","170.033037365206","215.0585","2645.01977586207","1721.71244680851","2849.70972","693.251756756757","602.357142857143","1064.98179487179","210.194070669321","845.800552631579","484.696333333333"
"M170.0931T226.1","170.093091249888","226.054","3406.23133802817","3362.489","8306.19677776761","14640.0218769231","46594.6942173913","31550.98553125","15163.868","14381.7027671233","14145.6072083333"
"M170.0932T236","170.093155166123","235.992","4577.07741463415","3403.15392727273","8729.93886842105","3354.09737342512","6206.83518554687","4754.44882583618","3069.89120378886","3128.76797237912","3013.21765879038"
"M170.1541T639","170.154128952801","638.993","1344.42857142857","968.54462890625","1677.42857142857","638.514666666678","1480.88907999999","847.190315789474","1397.83179425837","1435.86153846154","1890.38918749999"
"M171.096T226.2","171.095954170268","226.213","701.376625","661.901435852051","684.385449156469","944.965","3163.16875384615","2169.02780769231","962.38843902439","1054.28571428571","790.081557692308"
"M172.1705T478.9","172.170450776626","478.936","7129.63776811594","1515.230448","3545.92476470588","3149.27743589743","7715.60346268657","1761.48448979592","4204.10646250001","4028.55607407407","5446.97396249999"
"M172.9566T129.5","172.956552605271","129.489","2648.21641666667","1845.50743589744","2121.09272131148","684.83888","2514.69693548387","1786.12104166667","2029.6097027027","2268.45889705882","2468.736"
"M172.9774T163.3","172.977447509766","163.325","6616.25520833333","2359.7691627907","4660.56904444445","2381.28933868408","4626.8957","2734.56060385197","4677.90825531914","5507.62911111111","5308.27958823529"
