"","mz","rt","GD_010_NIST_RPP_RRHD_B1.mzXML","GD_011_NIST_RPP_RRHD_B1.mzXML","GD_013_NIST_RPP_RRHD_B1.mzXML","GD_016_NIST_RPP_RRHD_B1.mzXML","GD_019_NIST_RPP_RRHD_B1.mzXML"
"group","mz","rt","NIST1950","NIST1950","NIST1950","NIST1950","NIST1950"
"M235.1308T830","235.130847930908","829.970356755007","494320.061153605","367150.408803596","562515.735829936","337487.492475525","336325.432707782"
"M235.1474T499.7","235.147354125977","499.722429216556","664252.367150042","204731.439099945","308096.026092801","324450.390341303","364952.663315939"
"M235.9385T707","235.938486601177","707.016701164202","68830.9703900886","173899.883428388","184891.977937168","155749.757090868","145312.406858577"
"M236.0508T803.6","236.050785064697","803.56326164577","913288.286232445","1078233.22768705","816899.19799957","704132.997443822","244708.526196215"
"M236.0726T36.2","236.072618103027","36.2296301721284","75394.9065070863","88276.2867987486","83716.8957804737","80755.8897144688","66492.5549813526"
"M236.8335T990.7","236.833530426025","990.724104526474","422543.657751174","436740.446210929","438915.638611625","424164.78914435","450153.604036072"
"M236.8649T838.5","236.86492767334","838.481890611286","49135.3897875787","44629.5092625724","60445.4059396886","29444.3103249664","45683.1455242971"
"M236.9374T634.8","236.937393188477","634.772321728076","39968.9128906153","41881.8381360006","40406.632255575","25159.7533586203","38820.2591084493"
"M236.9471T835","236.947062492371","835.021968106935","305612.874622582","308813.635661242","284906.257697632","146774.836362534","205719.685069164"
"M237.0418T695","237.041753387451","694.967200444206","5751449.80553021","5374620.98543974","4699728.15874652","3798724.36934682","3354088.55066585"
"M237.0824T901.8","237.082422892253","901.804898405048","199048.044926848","115680.319938926","200288.394058233","82036.9450577116","64842.814678578"
"M237.11T403.5","237.109972000122","403.452779415527","165713.361640283","177739.729493769","110843.534718243","76178.0648380831","65324.1711383147"
"M237.1096T847.6","237.109587533133","847.587769260098","314383.434660034","300166.311182345","283037.004604957","202837.485703707","174533.686464086"
